order_value,distance,weight,warehouse,carrier,cost_to_serve
8777,698,23,Bangalore,Delhivery,657.5
1197,1494,15,Mumbai,BlueDart,777.5
8125,1962,26,Delhi,BlueDart,1055.5
2930,1643,14,Delhi,Ekart,680.75
7287,114,11,Delhi,Ekart,420.5
9800,1132,12,Bangalore,Delhivery,671.0
5282,520,26,Mumbai,BlueDart,625.0
3511,394,13,Bangalore,BlueDart,549.5
1659,414,8,Bangalore,Ekart,473.5
3811,832,18,Mumbai,BlueDart,742.0
8098,527,25,Bangalore,BlueDart,638.75
7546,485,1,Mumbai,BlueDart,322.25
2986,718,15,Delhi,Ekart,552.5
9338,1896,8,Mumbai,Delhivery,792.0
3911,1678,28,Delhi,Delhivery,961.5
2734,1903,11,Bangalore,BlueDart,845.75
2843,780,12,Bangalore,Delhivery,614.0
9680,1470,12,Delhi,Ekart,834.5
3976,1056,4,Bangalore,Ekart,488.0
2959,1006,16,Mumbai,Delhivery,547.5
6759,1598,4,Delhi,Delhivery,588.5
7694,686,5,Bangalore,BlueDart,439.5
3385,723,24,Delhi,Delhivery,686.75
5736,1491,5,Mumbai,BlueDart,500.75
2802,92,8,Mumbai,BlueDart,196.0
9155,1178,10,Bangalore,Ekart,596.5
9120,1118,17,Mumbai,Ekart,623.5
7616,1111,28,Delhi,Ekart,763.75
6534,466,26,Mumbai,Ekart,656.5
5061,1911,9,Delhi,Delhivery,764.75
1262,10,22,Delhi,Ekart,505.5
7287,60,19,Mumbai,Delhivery,401.0
9815,694,29,Bangalore,Ekart,878.5
3049,726,14,Mumbai,Delhivery,492.5
6423,1805,8,Delhi,BlueDart,784.25
5548,1479,9,Delhi,Delhivery,677.75
4108,458,22,Mumbai,Delhivery,659.5
8158,890,11,Bangalore,Ekart,667.5
8400,497,23,Bangalore,Delhivery,696.25
4170,1833,1,Delhi,BlueDart,585.25
3255,43,14,Delhi,BlueDart,498.75
2154,1381,5,Bangalore,Ekart,585.25
5499,104,21,Mumbai,BlueDart,581.0
7295,1105,26,Delhi,Delhivery,777.25
7197,1584,14,Delhi,BlueDart,882.0
2648,163,4,Bangalore,Ekart,156.75
6539,259,22,Mumbai,Delhivery,598.75
5199,683,23,Bangalore,Ekart,656.75
9445,447,25,Mumbai,Delhivery,749.75
3557,127,1,Mumbai,BlueDart,109.75
6592,780,22,Mumbai,Ekart,773.0
1098,1924,23,Delhi,Ekart,1104.0
3200,1339,19,Bangalore,Delhivery,754.75
3961,277,8,Bangalore,Ekart,371.25
5973,1994,15,Mumbai,Delhivery,955.5
5433,1087,21,Delhi,Delhivery,765.75
3869,245,15,Delhi,Delhivery,397.25
1956,398,9,Bangalore,Delhivery,502.5
9352,999,21,Delhi,BlueDart,762.75
6699,1767,9,Delhi,Delhivery,871.75
7944,772,10,Mumbai,Ekart,622.0
5493,1858,20,Delhi,BlueDart,892.5
5911,410,25,Mumbai,Ekart,675.5
4987,633,21,Bangalore,BlueDart,660.25
7015,776,26,Delhi,Delhivery,848.0
2218,1336,9,Bangalore,BlueDart,576.0
5496,928,3,Bangalore,BlueDart,446.0
5735,1240,20,Delhi,Ekart,826.0
5555,1262,25,Delhi,Ekart,872.5
9050,862,26,Bangalore,Delhivery,719.5
4446,1943,11,Delhi,BlueDart,712.75
2045,587,6,Mumbai,BlueDart,498.75
7893,84,2,Mumbai,BlueDart,318.0
2693,444,7,Delhi,Delhivery,507.0
4436,112,18,Bangalore,Delhivery,584.0
9754,1455,27,Delhi,Delhivery,1030.75
6895,1737,2,Delhi,Delhivery,694.25
4354,773,27,Bangalore,Delhivery,729.25
1225,747,17,Bangalore,Ekart,719.75
5893,815,11,Mumbai,BlueDart,590.75
8022,1339,27,Bangalore,BlueDart,948.75
6600,107,12,Mumbai,BlueDart,419.75
8996,1883,27,Bangalore,BlueDart,1133.75
8683,807,19,Delhi,BlueDart,762.75
5642,1368,22,Mumbai,BlueDart,962.0
8679,868,24,Mumbai,BlueDart,814.0
9208,444,25,Mumbai,BlueDart,674.0
8339,456,7,Delhi,Ekart,459.0
3205,1341,20,Delhi,BlueDart,833.25
2069,258,6,Delhi,Ekart,255.5
4444,175,21,Delhi,Delhivery,590.75
2060,1514,24,Delhi,BlueDart,904.5
3327,993,1,Mumbai,Delhivery,338.25
4420,1368,17,Delhi,Delhivery,842.0
1301,1029,29,Mumbai,Delhivery,775.25
1606,551,11,Delhi,Ekart,403.75
4170,768,22,Bangalore,Delhivery,683.0
1699,1139,26,Mumbai,Delhivery,805.75
6088,1596,28,Bangalore,Delhivery,1100.0
1190,90,18,Mumbai,BlueDart,568.5
1980,142,21,Bangalore,BlueDart,632.5
3975,806,17,Delhi,Ekart,726.5
7102,909,7,Delhi,Ekart,561.25
2184,147,17,Delhi,BlueDart,497.75
4327,193,20,Mumbai,Ekart,563.25
4394,1434,9,Bangalore,BlueDart,584.5
9319,1363,17,Delhi,Delhivery,665.75
2816,794,20,Bangalore,Delhivery,589.5
6854,1541,22,Bangalore,Ekart,905.25
7709,1885,22,Delhi,BlueDart,963.25
1569,993,28,Delhi,BlueDart,822.25
6442,78,29,Bangalore,Ekart,695.5
2895,555,8,Delhi,BlueDart,324.75
3733,1807,17,Delhi,Delhivery,875.75
4863,62,7,Delhi,Ekart,306.5
8455,1483,1,Mumbai,Ekart,603.75
5014,214,13,Bangalore,BlueDart,426.5
2686,135,23,Bangalore,Ekart,557.75
4009,1780,19,Mumbai,BlueDart,839.0
8806,52,27,Bangalore,BlueDart,515.0
1154,1785,24,Delhi,BlueDart,884.25
2409,1916,19,Bangalore,BlueDart,910.0
1784,120,29,Delhi,BlueDart,524.0
9096,770,17,Mumbai,Ekart,738.5
8560,1696,13,Delhi,Delhivery,726.0
8343,1216,29,Bangalore,Delhivery,976.0
8206,857,16,Bangalore,Ekart,735.25
6596,104,8,Bangalore,Ekart,216.0
6801,1407,19,Mumbai,Delhivery,713.75
3806,1945,18,Mumbai,Delhivery,1008.25
1537,1553,1,Bangalore,Delhivery,699.25
6986,909,14,Delhi,Delhivery,520.25
2841,369,19,Mumbai,Delhivery,434.25
9716,909,15,Bangalore,BlueDart,688.25
7971,1729,18,Bangalore,Ekart,965.25
6625,290,2,Mumbai,BlueDart,351.5
3950,1228,22,Mumbai,Delhivery,863.0
8992,1897,28,Mumbai,Delhivery,1022.25
5780,1228,17,Delhi,Delhivery,756.0
3368,676,18,Delhi,BlueDart,676.0
7655,102,6,Bangalore,BlueDart,251.5
9173,681,19,Mumbai,Delhivery,592.25
5495,1979,4,Delhi,BlueDart,776.75
7002,70,1,Mumbai,BlueDart,292.5
7614,643,8,Bangalore,Delhivery,398.75
6919,1084,29,Delhi,BlueDart,915.0
1853,1436,23,Delhi,Ekart,925.0
5146,1822,7,Delhi,Ekart,802.5
4769,1038,3,Bangalore,Ekart,440.5
1574,1499,10,Mumbai,Ekart,674.75
2148,613,10,Delhi,Delhivery,360.25
7293,691,19,Bangalore,Delhivery,583.75
7457,1862,14,Mumbai,Delhivery,924.5
8509,543,2,Bangalore,Ekart,463.75
5777,1438,28,Mumbai,Ekart,915.5
4854,847,1,Bangalore,BlueDart,318.75
3491,1546,23,Mumbai,BlueDart,909.5
4124,654,23,Delhi,Ekart,666.5
6691,242,28,Mumbai,Ekart,708.5
4051,533,18,Bangalore,Ekart,604.25
1004,355,7,Bangalore,Ekart,469.75
6222,1079,29,Mumbai,BlueDart,905.75
6315,555,8,Delhi,Ekart,324.75
5869,1978,1,Delhi,BlueDart,691.5
1876,1111,25,Mumbai,Ekart,849.75
8027,1763,23,Mumbai,Ekart,855.75
5142,1846,3,Bangalore,Ekart,787.5
7966,1956,24,Delhi,BlueDart,956.0
8079,1106,23,Mumbai,BlueDart,829.5
8987,803,27,Delhi,Delhivery,764.75
7799,258,29,Mumbai,Ekart,776.5
5465,56,8,Mumbai,Delhivery,322.0
1635,1154,22,Delhi,Delhivery,847.5
2693,223,25,Mumbai,BlueDart,622.75
5752,248,15,Mumbai,BlueDart,547.0
9311,1089,5,Bangalore,Delhivery,531.25
1830,359,3,Mumbai,Ekart,426.75
6177,116,19,Mumbai,BlueDart,391.0
9932,840,1,Mumbai,Ekart,325.0
9308,57,28,Bangalore,Ekart,718.25
6949,1606,15,Delhi,Delhivery,861.5
3838,346,8,Bangalore,Delhivery,260.5
2150,1059,2,Bangalore,Delhivery,348.75
8560,813,3,Delhi,Delhivery,391.25
2931,1290,24,Bangalore,BlueDart,977.5
2664,17,14,Delhi,BlueDart,359.25
2081,634,24,Bangalore,Delhivery,575.5
1512,1900,14,Delhi,BlueDart,798.0
8805,1286,11,Mumbai,Delhivery,673.5
6237,1725,16,Bangalore,Ekart,758.25
1559,728,4,Bangalore,Ekart,402.0
4672,312,20,Bangalore,Ekart,651.0
8404,648,5,Bangalore,Delhivery,398.0
4343,65,22,Mumbai,Ekart,615.25
5070,735,21,Bangalore,BlueDart,628.75
1580,535,14,Mumbai,Ekart,615.75
8004,483,23,Mumbai,Ekart,650.75
9130,37,16,Mumbai,Ekart,402.25
4147,87,18,Mumbai,BlueDart,493.75
5249,1249,7,Delhi,Delhivery,539.25
2679,1419,10,Delhi,BlueDart,747.75
4506,374,7,Bangalore,Delhivery,454.5
8253,675,1,Delhi,Delhivery,410.75
3744,535,23,Delhi,Ekart,722.75
6188,708,21,Bangalore,Delhivery,590.0
3141,1345,19,Bangalore,BlueDart,706.25
7617,892,16,Bangalore,BlueDart,638.0
3479,1040,29,Delhi,Delhivery,812.0
7484,1036,19,Delhi,Ekart,671.0
8421,1656,4,Bangalore,Ekart,628.0
5452,928,29,Mumbai,BlueDart,885.0
6881,759,28,Bangalore,Ekart,875.75
7665,372,18,Mumbai,Delhivery,534.0
3849,1784,2,Mumbai,Delhivery,644.0
8390,1541,1,Bangalore,BlueDart,639.25
7905,1307,15,Bangalore,Delhivery,714.75
3489,1539,5,Bangalore,BlueDart,518.75
5611,815,20,Delhi,Delhivery,701.75
3839,748,11,Mumbai,BlueDart,565.0
9527,1916,10,Delhi,Ekart,818.0
6878,1048,2,Delhi,Delhivery,432.0
7303,1225,3,Bangalore,Delhivery,632.25
1851,1664,23,Delhi,BlueDart,812.0
2687,494,23,Bangalore,BlueDart,635.5
7833,37,12,Mumbai,Delhivery,251.25
3427,723,20,Bangalore,BlueDart,710.75
5000,1072,5,Delhi,Delhivery,552.0
6052,1986,5,Delhi,Ekart,715.5
3738,1306,6,Bangalore,BlueDart,609.5
6732,1264,9,Bangalore,Delhivery,532.0
6387,95,2,Delhi,Ekart,134.75
9002,1507,21,Mumbai,Ekart,864.75
6536,135,12,Mumbai,Delhivery,488.75
4913,821,3,Bangalore,BlueDart,310.25
2066,546,20,Mumbai,Delhivery,495.5
8723,154,26,Delhi,Ekart,492.5
5380,1558,22,Bangalore,Delhivery,785.5
5107,1245,12,Delhi,BlueDart,708.25
6726,34,24,Delhi,Ekart,563.5
4373,1613,17,Mumbai,Delhivery,890.25
9945,1427,10,Bangalore,BlueDart,756.75
3082,76,24,Bangalore,Ekart,581.0
9967,242,27,Mumbai,BlueDart,746.5
7748,118,14,Delhi,Ekart,347.5
1417,1179,23,Delhi,Delhivery,766.75
9306,120,17,Delhi,BlueDart,458.0
9808,237,18,Delhi,Ekart,628.25
4974,120,19,Bangalore,BlueDart,581.0
4267,1503,17,Bangalore,BlueDart,793.75
1825,43,14,Mumbai,Delhivery,291.75
8668,632,9,Mumbai,BlueDart,586.0
6745,1809,8,Bangalore,Ekart,779.25
1412,1969,2,Bangalore,Ekart,783.25
8543,1402,13,Delhi,Ekart,807.5
8587,757,25,Delhi,Ekart,785.25
1728,604,7,Mumbai,Delhivery,337.0
8164,1587,9,Bangalore,BlueDart,759.75
9867,434,22,Mumbai,Delhivery,661.5
6988,622,22,Bangalore,BlueDart,647.5
3504,1551,11,Delhi,BlueDart,721.75
3967,701,14,Mumbai,BlueDart,583.25
3786,1315,4,Mumbai,Delhivery,664.75
2122,1353,26,Bangalore,BlueDart,899.25
5079,1771,26,Delhi,Delhivery,913.75
2571,1476,29,Mumbai,Ekart,1075.0
6073,1985,13,Delhi,Ekart,859.25
6104,324,2,Mumbai,BlueDart,199.0
3143,886,23,Delhi,Delhivery,856.5
7806,1999,5,Bangalore,Ekart,635.75
8357,1774,11,Mumbai,Delhivery,890.5
4440,1410,6,Mumbai,Delhivery,666.5
4766,1322,18,Delhi,BlueDart,667.5
6644,1470,21,Delhi,Ekart,880.5
3914,671,10,Mumbai,BlueDart,507.75
5968,286,4,Bangalore,BlueDart,329.5
6917,1743,9,Delhi,Ekart,745.75
9787,1615,6,Delhi,Ekart,678.75
1728,1536,2,Delhi,Delhivery,509.0
2365,633,17,Mumbai,Ekart,566.25
5492,525,5,Mumbai,Delhivery,493.25
1698,1383,25,Mumbai,Delhivery,904.75
8186,852,6,Mumbai,Delhivery,503.0
1395,1479,26,Bangalore,Ekart,1044.75
8400,1863,12,Bangalore,BlueDart,918.75
9082,359,23,Mumbai,Delhivery,686.75
5171,1640,21,Bangalore,BlueDart,860.0
5360,1697,10,Delhi,BlueDart,773.25
3502,832,22,Delhi,Ekart,822.0
1717,1170,21,Delhi,BlueDart,745.5
3782,768,27,Mumbai,BlueDart,668.0
5946,908,25,Delhi,Ekart,743.0
6486,252,6,Bangalore,Delhivery,231.0
9335,552,27,Mumbai,BlueDart,605.0
5980,1073,8,Bangalore,Ekart,647.25
8266,238,2,Delhi,BlueDart,140.5
5491,557,12,Delhi,BlueDart,397.25
8192,929,13,Delhi,Delhivery,689.25
6588,1256,25,Mumbai,BlueDart,945.0
8651,15,21,Bangalore,Ekart,547.75
4636,1355,7,Mumbai,BlueDart,519.75
2167,477,10,Mumbai,Delhivery,368.25
2062,1765,13,Delhi,Delhivery,780.25
3156,84,17,Mumbai,Ekart,532.0
8860,13,26,Mumbai,Delhivery,685.25
6161,1880,21,Delhi,BlueDart,985.0
6305,655,28,Mumbai,Delhivery,720.75
7541,127,26,Delhi,Ekart,514.75
5729,890,14,Delhi,Delhivery,686.5
8330,1639,2,Delhi,Delhivery,510.75
6334,513,28,Delhi,Delhivery,768.25
9924,956,22,Mumbai,Ekart,783.0
5330,583,11,Delhi,Delhivery,548.75
9010,1474,1,Delhi,Delhivery,529.5
7801,203,19,Mumbai,BlueDart,568.75
5846,856,21,Mumbai,Ekart,581.0
7731,724,4,Bangalore,Delhivery,481.0
